position_group,model,n_eval,n_excluded,rmse,mae,spearman
skill_pass,ridge,281,11,15.29216053410883,11.51831402861972,0.5161798238634611
skill_pass,xgboost,281,11,16.05368761976592,11.758192862745283,0.5270619328376719
skill_run,ridge,96,2,12.771966390926291,10.961888799017418,0.5084689163922963
skill_run,xgboost,96,2,11.36151347775741,9.539263434708118,0.5872846118334206
