pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof
YiadIs00,isaac-yiadom-1,00-0034780,Isaac Yiadom,CB,2018,3,99,DEN,boston col.,73.0,190.0,4.52,,120.0,8.0,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,16.0,5.0,118.0,0,0,2,False
WhalJa00,james-whalen-1,00-0019569,James Whalen,TE,2000,5,157,TAM,kentucky,74.0,228.0,4.78,31.0,110.0,,7.42,4.22,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,26.0,0,0,0,False
MortCh00,chad-morton-1,00-0019590,Chad Morton,RB,2000,5,166,NOR,southern california,68.0,182.0,4.5,36.0,121.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,93.0,0,0,0,False
GreeMi00,mike-green-4,00-0019576,Mike Green,RB,2000,7,213,TEN,houston,72.0,189.0,4.53,38.5,118.0,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,32.0,0,0,0,False
WardDe02,denzel-ward-3,00-0034856,Denzel Ward,CB,2018,1,4,CLE,ohio st.,70.0,183.0,4.32,39.0,136.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,110.0,5,0,7,False
PhilCl00,clark-phillips-iii-1,00-0038568,Clark Phillips,CB,2023,4,113,ATL,utah,69.0,184.0,4.51,33.0,,18.0,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,28.0,0,0,0,False
CravSu00,sua-cravens-1,00-0032767,Su'a Cravens,LB,2016,2,53,WAS,southern california,73.0,226.0,4.58,27.0,114.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,16.0,0,0,0,False
ThomAd00,adalius-thomas-1,00-0019593,Adalius Thomas,LB,2000,6,186,BAL,southern miss,74.0,270.0,4.56,38.5,120.0,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,65.0,53.0,135.0,2,1,8,False
StevDo21,dominique-stevenson-1,00-0021359,Dominique Stevenson,LB,2002,7,260,BUF,tennessee,72.0,231.0,4.53,32.5,110.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,21.0,0,0,0,False
FeliJo00,jon-feliciano-1,00-0032151,Jon Feliciano,G,2015,4,128,OAK,miami,76.0,323.0,5.33,26.5,97.0,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,26.0,4.0,113.0,0,0,2,False
WoodCo01,colby-wooden-1,00-0038387,Colby Wooden,DE,2023,4,116,GNB,auburn,76.0,273.0,4.79,,115.0,23.0,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,47.0,0,0,0,False
ConnCh01,chamarri-conner-1,00-0038982,Chamarri Conner,CB,2023,4,119,KAN,virginia tech,72.0,202.0,4.51,40.5,125.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,49.0,0,0,0,False
HurdJa00,jalen-hurd-1,00-0034971,Jalen Hurd,WR,2019,3,67,SFO,baylor,77.0,226.0,,,,23.0,,,,,,,,637.0,2847.0,23.0,136.0,1438.0,10.0,,,,,,,,,,,,,,,,,0,0,0,False
YounCa00,cameron-young-2,00-0038572,Cameron Young,DT,2023,4,123,SEA,mississippi st.,75.0,304.0,5.1,,,,,,,,,,,2.0,87.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,17.0,0,0,0,False
TaboTe00,jalen-tabor-1,00-0033545,Teez Tabor,CB,2017,2,53,DET,florida,72.0,199.0,4.62,31.0,120.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,39.0,0,0,0,False
McGuIs00,isaiah-mcguire-1,00-0038574,Isaiah McGuire,DT,2023,4,126,CLE,missouri,76.0,268.0,4.76,36.5,122.0,,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,37.0,0,0,0,False
MeliOb00,obi-melifonwu-1,00-0033900,Obi Melifonwu,S,2017,2,56,OAK,connecticut,76.0,224.0,4.4,44.0,141.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,0,0,0,False
CarlJa01,jaylon-carlies-1,00-0039377,Jaylon Carlies,CB,2024,5,151,IND,missouri,75.0,227.0,4.5,32.5,125.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,13.0,0,0,0,False
MaysDe00,devante-mays-1,00-0033304,Devante Mays,RB,2017,7,238,GNB,utah st.,,,,,,,,,,,,,,202.0,1225.0,12.0,2.0,17.0,0.0,,,,,,,,,,,,,,0.0,0.0,8.0,0,0,0,False
DiemRy20,,00-0020399,Ryan Diem,T,2001,4,118,IND,northern illinois,79.0,338.0,5.13,34.0,102.0,,7.5,4.46,,,,,,,,,,,,,,,,,,,,,,,,,72.0,72.0,157.0,0,0,10,False
AdebAd00,adetomiwa-adebawore-1,00-0039031,Adetomiwa Adebawore,DT,2023,4,110,IND,northwestern,74.0,282.0,4.49,37.5,125.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,43.0,0,0,0,False
FitzMi00,minkah-fitzpatrick-1,00-0034789,Minkah Fitzpatrick,S,2018,1,11,MIA,alabama,73.0,201.0,4.46,33.0,121.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,7.0,120.0,5,3,6,False
SteeMa20,,00-0020408,Markus Steele,LB,2001,4,122,DAL,southern california,75.0,232.0,4.62,33.0,119.0,,7.15,4.5,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,42.0,0,0,1,False
CowaBy00,byron-cowart-1,00-0035278,Byron Cowart,DT,2019,5,159,NWE,maryland,75.0,298.0,5.16,30.0,111.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,9.0,51.0,0,0,1,False
EdwaMa20,,00-0019620,Mario Edwards,CB,2000,6,180,DAL,florida st.,72.0,191.0,4.46,,120.0,,,,,,,,,1.0,4.0,0.0,,,,,,,,,,,,,,,,,22.0,21.0,73.0,0,0,3,False
AndrJa00,jake-andrews-1,00-0039030,Jake Andrews,G,2023,4,107,NWE,troy,75.0,305.0,5.15,26.0,102.0,,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,32.0,0,0,0,False
JameDe00,derwin-james-1,00-0034790,Derwin James,S,2018,1,17,LAC,florida st.,75.0,215.0,4.47,40.0,132.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,98.0,5,1,5,False
HaynMi20,michael-haynes-1,00-0022118,Michael Haynes,DE,2003,1,14,CHI,penn st.,76.0,281.0,4.87,30.5,109.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,43.0,0,0,0,False
AndeMa22,marques-anderson-1,00-0021217,Marques Anderson,CB,2002,3,92,GNB,ucla,71.0,213.0,4.5,39.5,127.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,54.0,0,0,2,False
BennJa00,jakorian-bennett-1,00-0039072,Jakorian Bennett,CB,2023,4,104,LVR,maryland,71.0,188.0,4.3,40.5,133.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,35.0,0,0,1,False
BlacMe00,mekhi-blackmon-1,00-0038565,Mekhi Blackmon,CB,2023,3,102,MIN,southern california,71.0,178.0,4.47,36.0,125.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,32.0,0,0,0,False
WestBr00,,00-0021216,Brian Westbrook,RB,2002,3,91,PHI,villanova,68.0,200.0,4.57,37.0,118.0,26.0,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,68.0,121.0,2,1,7,False
HarrKw20,,00-0022075,Kwame Harris,T,2003,1,26,SFO,stanford,79.0,310.0,5.2,35.5,107.0,,7.98,4.65,,,,,,,,,,,,,,,,,,,,,,,,,22.0,19.0,86.0,0,0,3,False
PhilMa20,,00-0019488,Mareno Philyaw,WR,2000,6,172,ATL,troy,74.0,205.0,4.66,39.5,129.0,,6.93,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0,0,0,False
SoloJa00,javon-solomon-1,00-0039879,Javon Solomon,DE,2024,5,168,BUF,troy,73.0,246.0,4.72,37.0,119.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,31.0,0,0,0,False
MeanBu00,bub-means-1,00-0039386,Bub Means,WR,2024,5,170,NOR,pittsburgh,73.0,212.0,4.43,39.5,122.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,0,0,0,False
JammQu20,quentin-jammer-1,00-0021381,Quentin Jammer,CB,2002,1,5,SDG,texas,72.0,204.0,4.49,36.0,124.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,51.0,183.0,0,0,10,False
