pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split,_raw_broad,10 Yard Split,10 Yard Split
,,,Cameron Ball,DT,2026,161,5090000,5,161,,arkansas,75.625,310,5.13,32.0,109.0,,,4.76,,,,,,,,,10.0,94.0,0.0,,,,,,,,,,,,,,,,,,,,,6035,948,3300,,,,9'1,,
,,,Tim Keenan III,DT,2026,167,5030000,5,167,,alabama,73.0,327,5.31,30.0,100.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,858,3048,,,,8'4,,
,,,George Gumbs Jr,DT,2026,139,5420000,4,139,,florida,76.0,245,4.66,41.0,121.0,,7.0,,,,,,,,,,4.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,6040,900,3358,,,,10'1,,
,,,Kaleb Elarms-Orr,LB,2026,156,5140000,5,156,,texas christian,74.0,234,4.47,40.0,124.0,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,900,3148,,1.59,1.59,10'4,1.59,1.59
,,,Dallen Bentley,TE,2026,98,6262308,3,98,,utah,76.0,253,4.62,35.0,118.0,,,4.42,,,,,,,,,51.0,640.0,6.0,,,,,,,,,,,,,,,,,,,,,6040,928,3318,,,,910,,
,,,Nick Barrett,DT,2026,177,4930000,5,177,,south carolina,74.875,312,5.11,31.5,108.0,,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6027,1000,3338,,,,9'0,,
,,,Zachariah Branch,WR,2026,39,12800000,2,39,,georgia,68.625,177,4.35,38.0,125.0,20.0,,,,,,,,15.0,94.0,1.0,159.0,1634.0,9.0,,,,,,,,,,,,,,,,,,,,,5085,900,2938,7238,,,1005,,
,,,Anthony Hill Jr,LB,2026,37,13225714,2,37,,texas,74.0,238,4.51,37.0,125.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,958,3238,7900,1.58,1.58,10'5,1.58,1.58
,,,Gracen Halton,DT,2026,59,8400000,2,59,,oklahoma,74.625,293,4.82,36.5,114.0,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6025,1000,3118,7768,,,9'6,,
,,,Owen Heinecke,LB,2026,193,4900000,6,193,,oklahoma,73.5,228,4.62,34.5,119.0,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6014,968,3018,,1.62,1.62,9'11,1.62,1.62
,,,Trey Moore,DT,2026,128,5640000,4,128,,texas,74.0,243,4.54,38.5,120.0,,,4.43,,,,,,3.0,6.0,0.0,21.0,359.0,4.0,,,,,,,,,,,,,,,,,,,,,6020,1048,3158,,,,10'0,,
