pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split,_raw_broad,10 Yard Split,10 Yard Split
,,,Armaj Reed-Adams,G,2026,151,5190000,5,151,,texas a&m,78.0,314,5.28,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060,1000,3438,,,,,,
,,,Olaivavega Ioane,G,2026,6,35700000,1,6,,penn state,76.25,320,,31.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042,1048,3268,8058,,,808,,
,,,Genesis Smith,CB,2026,97,6300000,3,97,,arizona,74.125,202,,42.5,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021,878,3248,7928,,,,,
,,,Denzel Boston,WR,2026,19,17800000,1,19,,washington,75.625,212,,35.0,,,,4.28,2.0,2.0,15.0,1.0,0.0,1.0,2.0,1.0,132.0,1781.0,20.0,,,,,,,,,,,,,,,,,,,,,6035,968,3200,7738,,,,,
,,,Quintayvious Hutchins,DT,2026,125,5700000,4,125,,boston college,75.0,233,4.74,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,948,3258,,,,,,
,,,Dillon Thieneman,CB,2026,20,17500000,1,20,,oregon,73.0,201,4.35,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,900,3138,7818,,,,,
,,,Omar Cooper Jr,WR,2026,23,16725000,1,23,,indiana,72.0,199,4.42,37.0,,,,,,,,,,5.0,97.0,2.0,116.0,1822.0,22.0,,,,,,,,,,,,,,,,,,,,,6000,958,3028,7528,,,,,
,,,Keldric Faulk,DT,2026,22,16984444,1,22,,auburn,77.875,276,,35.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,978,3438,8228,,,9'9,,
,,,Demond Claiborne,RB,2026,126,5680000,4,126,,wake forest,69.75,188,4.37,,122.0,,,,,,,,,558.0,2596.0,26.0,55.0,424.0,2.0,,,,,,,,,,,,,,,,,,,,,5096,900,3018,7278,,,1002,,
,,,Treydan Stukes,CB,2026,77,6963333,3,77,,arizona,72.125,190,4.33,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6001,848,3168,,,,,,
,,,Robert Spears-Jennings,CB,2026,190,4900000,6,190,,oklahoma,73.875,205,4.32,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6017,1038,3248,,,,,,
,,,Ja'kobi Lane,WR,2026,81,6829231,3,81,,southern california,76.0,200,4.47,40.0,,,,,,,,,,,,,99.0,1363.0,18.0,,,,,,,,,,,,,,,,,,,,,6040,1048,3258,,,,,,
,,,Nate Boerkircher,TE,2026,183,4900000,6,183,,texas a&m,76.5,245,,,,,,4.4,,,,,,4.0,16.0,1.0,39.0,423.0,4.0,,,,,,,,,,,,,,,,,,,,,6044,1048,3258,,,,,,
,,,Aaron Anderson,WR,2026,192,4900000,6,192,,louisiana state,68.0,191,,30.0,,,,,,,,,,1.0,2.0,0.0,106.0,1333.0,5.0,,,,,,,,,,,,,,,,,,,,,5080,928,2968,,,,,,
,,,Harrison Wallace III,WR,2026,185,4900000,6,185,,mississippi,72.0,192,4.54,,,,,,,,,,,3.0,1.0,0.0,146.0,2167.0,10.0,,,,,,,,,,,,,,,,,,,,,6000,838,3218,,,,,,
,,,Jeremiyah Love,RB,2026,1,45600000,1,1,,notre dame,72.0,212,4.36,,,,,,,,,,,433.0,2882.0,36.0,63.0,594.0,6.0,,,,,,,,,,,,,,,,,,,,,6000,918,3200,7858,,,,,
,,,Chris Brazzell II,WR,2026,50,10400000,2,50,,tennessee,76.0,198,4.37,,,,,,,,,,,,,,136.0,2072.0,16.0,,,,,,,,,,,,,,,,,,,,,6040,900,3238,8018,,,,,
,,,Jordyn Tyson,WR,2026,12,23600000,1,12,,arizona state,74.125,203,,,,26.0,,,1.0,2.0,37.0,0.0,0.0,6.0,1.0,1.0,158.0,2282.0,22.0,,,,,,,,,,,,,,,,,,,,,6021,918,3028,7528,,,,,
,,,Barion Brown,WR,2026,197,4900000,6,197,,louisiana state,71.0,177,4.4,,,,,,,,,,,32.0,228.0,2.0,175.0,2060.0,12.0,,,,,,,,,,,,,,,,,,,,,5110,900,3148,,,,,,
,,,Carnell Tate,WR,2026,11,24900000,1,11,,ohio state,74.25,192,4.53,,,,,,,,,,,2.0,22.0,0.0,121.0,1872.0,14.0,,,,,,,,,,,,,,,,,,,,,6022,1028,3168,7800,,,,,
,,,Jonah Coleman,RB,2026,152,5180000,5,152,,washington,68.125,220,,,,22.0,,,,,,,,552.0,3054.0,34.0,87.0,838.0,3.0,,,,,,,,,,,,,,,,,,,,,5081,918,2878,7118,,,,,
,,,Trey Zuhn III,G,2026,159,5110000,5,159,,texas a&m,78.5,312,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6064,1000,3248,,,,,,
,,,Brenen Thompson,WR,2026,158,5120000,5,158,,mississippi state,69.0,164,4.26,,,,,,0.0,1.0,0.0,0.0,0.0,4.0,14.0,1.0,84.0,1557.0,10.0,,,,,,,,,,,,,,,,,,,,,5090,900,2938,,,,,,
,,,Colbie Young,WR,2026,170,5000000,5,170,,georgia,76.75,218,4.49,,,,,,,,,,,,,,116.0,1446.0,13.0,,,,,,,,,,,,,,,,,,,,,6046,948,3178,,,,,,
,,,Devin Moore,CB,2026,165,5050000,5,165,,florida,75.25,198,4.5,,,,,,,,,,,8.0,3.0,0.0,11.0,77.0,1.0,,,,,,,,,,,,,,,,,,,,,6032,858,3158,7678,,,,,
,,,VJ Payne,CB,2026,103,6140000,4,103,,kansas state,75.25,206,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6032,948,3368,,,,,,
,,,Josiah Trotter,LB,2026,94,6400000,3,94,,missouri,74.0,237,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,1028,3228,,,,,,
,,,D'Angelo Ponds,CB,2026,42,12100000,2,42,,indiana,68.625,182,,43.5,,,,,,,,,,,,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,5085,958,2938,7228,,,,,
,,,Arvell Reese,LB,2026,3,42143077,1,3,,ohio state,76.125,241,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6041,948,3248,7948,1.58,1.58,,1.58,1.58
,,,Kamari Ramsey,CB,2026,95,6362308,3,95,,southern california,72.25,202,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002,928,3058,,,,,,
,,,Michael Taaffe,CB,2026,136,5480000,4,136,,texas,71.875,190,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,938,2928,,,,,,
,,,Avieon Terrell,CB,2026,18,18012000,1,18,,clemson,70.75,186,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106,858,3100,7548,,,1003,,
,,,R Mason Thomas,DT,2026,41,12335714,2,41,,oklahoma,74.25,241,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6022,878,3158,7818,,,,,
,,,LT Overton,DT,2026,106,6080000,4,106,,alabama,75.0,274,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,1058,3328,,,,,,
,,,Skyler Gill- Howard,DT,2026,200,4900000,6,200,,texas tech,73.0,280,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,928,3068,,,,,,
,,,Gabe Jacas,DT,2026,44,11700000,2,44,,illinois,76.0,260,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,1000,3300,,,,,,
,,,Connor Lew,G,2026,130,5600000,4,130,,auburn,75.5,310,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034,900,3238,,,,,,
,,,Markel Bell,G,2026,115,5900000,4,115,,miami,81.25,346,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6092,900,3638,8718,,,,,
,,,Domani Jackson,CB,2026,91,6498500,3,91,,alabama,73.0,194,4.41,,,,,,,,,,,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6010,918,3118,,,,,,
,,,Dametrious Crownover,G,2026,88,6596500,3,88,,texas a&m,79.0,319,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6070,1000,3538,,,,,,
,,,Emmanuel McNeil-Warren,CB,2026,26,15936000,1,26,,toledo,75.5,201,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034,928,3218,7828,,,,,
,,,AJ Haulcy,CB,2026,75,7030000,3,75,,louisiana state,71.625,215,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,928,3078,,,,,,
,,,Jaeden Roberts,G,2026,105,6100000,4,105,,alabama,77.0,333,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1028,3338,,,,,,
,,,Dontae Corleonne,DT,2026,144,5320000,5,144,,cincinnati,72.625,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6005,948,3178,,,,,,
,,,Darrell Jackson Jr,DT,2026,118,5840000,4,118,,florida state,77.625,315,,,,,,,,,,,,,,,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,6055,1100,3468,8600,,,,,
,,,Keyron Crawford,DT,2026,83,6762051,3,83,,auburn,76.0,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,900,3200,,,,,,
,,,Chris Bell,WR,2026,68,7260000,3,68,,louisville,73.875,222,,,,,,,,,,,,2.0,43.0,0.0,151.0,2166.0,12.0,,,,,,,,,,,,,,,,,,,,,6017,1000,3168,7668,,,,,
,,,Michael Trigg,TE,2026,124,5720000,4,124,,baylor,76.0,240,,,,,,,,,,,,,,,108.0,1419.0,14.0,,,,,,,,,,,,,,,,,,,,,6040,1048,3428,8438,,,,,
,,,Zxavien Harris,DT,2026,154,5160000,5,154,,mississippi,80.0,330,,,,,,,,,,,,117.0,676.0,4.0,39.0,448.0,4.0,,,,,,,,,,,,,,,,,,,,,6080,1000,3458,,,,,,
,,,Rayshaun Benny,DT,2026,100,6202550,3,100,,michigan,75.0,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,928,3338,,,,,,
,,,Dae'Quan Wright,TE,2026,138,5440000,4,138,,mississippi,76.0,246,,,,,,,,,,,,1.0,2.0,0.0,112.0,1570.0,9.0,,,,,,,,,,,,,,,,,,,,,6040,928,3228,,,,,,
,,,Billy Schrauth,G,2026,86,6661000,3,86,,notre dame,77.0,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1028,3278,,,,,,
,,,Rueben Bain,DT,2026,16,18600000,1,16,,miami,74.25,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6022,918,3078,7738,,,,,
,,,Jadon Canady,CB,2026,109,6020000,4,109,,oregon,70.5,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104,928,3000,,,,,,
,,,Mansoor Delane,CB,2026,15,19800000,1,15,,louisiana state,72.0,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,878,3000,7448,,,,,
,,,Caleb Downs,CB,2026,2,43911111,1,2,,ohio state,71.625,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,948,3028,7328,,,,,
,,,Jermod McCoy,CB,2026,29,15200000,1,29,,tennessee,72.75,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006,900,3128,7700,,,,,
,,,Elijah Sarratt,WR,2026,85,6694872,3,85,,indiana,74.5,210,,,,,,,,,,,,8.0,48.0,1.0,240.0,3649.0,44.0,,,,,,,,,,,,,,,,,,,,,6024,1000,3128,7568,,,,,
,,,Zakee Wheatley,CB,2026,87,6630000,3,87,,penn state,75.0,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,948,3100,,,,,,
,,,Makai Lemon,WR,2026,13,22300000,1,13,,southern california,71.125,192,,,,,,,2.0,2.0,63.0,1.0,0.0,9.0,4.0,2.0,137.0,2008.0,14.0,,,,,,,,,,,,,,,,,,,,,5111,868,3048,7328,,,,,
,,,Louis Moore,CB,2026,145,5300000,5,145,,indiana,71.0,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5110,978,2948,,,,,,
,,,Keionte Scott,CB,2026,48,10838462,2,48,,miami,71.25,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112,958,3138,7658,,,,,
,,,KC Concepcion,WR,2026,40,12571429,2,40,,texas a&m,71.625,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,928,3028,7478,,,,,
,,,Josh Cameron,WR,2026,127,5660000,4,127,,baylor,73.5,220,,,,,,,,,,,,3.0,2.0,0.0,170.0,2236.0,19.0,,,,,,,,,,,,,,,,,,,,,6014,1028,3318,,,,,,
,,,Joe Royer,TE,2026,76,7000000,3,76,,cincinnati,77.0,247,,,,,,,,,,,,,,,84.0,972.0,7.0,,,,,,,,,,,,,,,,,,,,,6050,1068,3148,,,,,,
,,,Akheem Mesidor,DT,2026,24,16456250,1,24,,miami,75.0,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,1000,3218,7858,,,,,
,,,Joshua Josephs,DT,2026,96,6330000,3,96,,tennessee,75.0,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,1000,3428,,,,,,
,,,Scooby Williams,LB,2026,142,5360000,5,142,,texas a&m,74.0,231,,,,,,,,,,,,136.0,791.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,6020,928,3200,,,,,,
,,,Kaytron Allen,RB,2026,146,5280000,5,146,,penn state,71.375,216,,,,,,,1.0,1.0,4.0,0.0,0.0,769.0,4180.0,39.0,70.0,490.0,4.0,,,,,,,,,,,,,,,,,,,,,5113,948,2948,7268,,,,,
,,,Ty Simpson,QB,2026,35,13690000,2,35,,alabama,73.125,211,,,,,,,334.0,523.0,3948.0,28.0,5.0,112.0,223.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6011,938,3078,7648,,,,,
,,,Garrett Nussmeier,QB,2026,82,6795641,3,82,,louisiana state,73.625,203,,,,,,,659.0,1031.0,7687.0,52.0,24.0,72.0,-154.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6015,918,3038,7528,,,,,
,,,Fernando Mendoza,QB,2026,4,40058462,1,4,,indiana,76.75,236,,,,,,,691.0,1008.0,8247.0,71.0,22.0,226.0,467.0,11.0,0.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,6046,948,3178,7668,,,,,
,,,Pat Coogan,G,2026,181,4902000,5,181,,indiana,77.0,311,,,,,,,,,,,,,,,1.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,6050,928,3118,,,,,,
,,,Carson Beck,QB,2026,99,6231050,3,99,,miami,76.75,233,,,,,,,966.0,1391.0,11725.0,88.0,32.0,189.0,288.0,7.0,1.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,6046,1000,3058,7500,,,,,
,,,Drew Allar,QB,2026,166,5040000,5,166,,penn state,77.25,228,,,,,,,633.0,1001.0,7402.0,61.0,13.0,224.0,736.0,12.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,6052,978,3268,7948,,,,,
,,,Matt Gulbin,G,2026,160,5100000,5,160,,michigan state,76.0,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,948,3168,,,,,,
,,,Jeremiah Wright,G,2026,163,5070000,5,163,,auburn,77.0,331,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6050,1000,3318,,,,,,
,,,Alex Harkey,G,2026,168,5020000,5,168,,oregon,78.0,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060,1018,3168,,,,,,
,,,Francis Mauigoa,G,2026,8,30900000,1,8,,miami,77.5,329,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6054,1058,3328,8068,,,,,
,,,Roman Hemby,RB,2026,119,5820000,4,119,,indiana,71.875,207,,,,,,,,,,,,712.0,3467.0,29.0,129.0,1086.0,5.0,,,,,,,,,,,,,,,,,,,,,5117,948,3100,7568,,,,,
,,,Deontae Lawson,LB,2026,102,6160000,4,102,,alabama,75.0,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030,928,3178,,,,,,
,,,Lake McRee,TE,2026,187,4900000,6,187,,southern california,76.0,243,,,,,,,,,,,,,,,97.0,1154.0,7.0,,,,,,,,,,,,,,,,,,,,,6040,928,3148,,,,,,
,,,Kayden McDonald,DT,2026,21,17200000,1,21,,ohio state,74.125,326,,,,,,,,,,,,3.0,15.0,0.0,85.0,1032.0,6.0,,,,,,,,,,,,,,,,,,,,,6021,968,3228,7818,,,,,
,,,Christen Miller,DT,2026,65,7361667,3,65,,georgia,75.75,321,,,,,,,,,,,,,,,21.0,317.0,2.0,,,,,,,,,,,,,,,,,,,,,6036,1000,3300,8018,,,,,
,,,Max Klare,TE,2026,92,6462100,3,92,,ohio state,76.0,246,,,,,,,,,,,,,,,116.0,1329.0,6.0,,,,,,,,,,,,,,,,,,,,,6040,918,3218,7778,,,,,
,,,Derrick Moore,DT,2026,63,7600000,2,63,,michigan,76.0,255,,,,,,,,,,,,130.0,663.0,6.0,21.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,6040,918,3338,,,,,,
,,,Domonique Orange,DT,2026,112,5960000,4,112,,iowa state,74.0,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,1028,3338,,,,,,
,,,Justin Joly,TE,2026,80,6862821,3,80,,nc state,75.625,241,,,,,,,,,,,,1.0,12.0,0.0,166.0,1962.0,15.0,,,,,,,,,,,,,,,,,,,,,6035,1048,3228,,,,,,
,,,Patrick Payton,DT,2026,196,4900000,6,196,,louisiana state,77.0,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1000,3348,,,,,,
,,,Peter Woods,DT,2026,27,15691111,1,27,,clemson,74.5,298,,,,,,,,,,,,8.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6024,918,3128,7668,,,,,
,,,Zion Young,DT,2026,30,14900000,1,30,,missouri,78.0,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060,948,3300,,,,,,
,,,CJ Allen,LB,2026,31,14609000,1,31,,georgia,72.75,230,,,,,,,,,,,,,,,33.0,360.0,4.0,,,,,,,,,,,,,,,,,,,,,6006,1018,3148,7548,,,,,
,,,Lander Burton,LB,2026,182,4900000,6,182,,utah,77.0,233,,,,,,,,,,,,,,,6.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,6050,948,3228,,,,,,
,,,Nicholas Singleton,RB,2026,104,6120000,4,104,,penn state,72.25,219,,,,,,,,,,,,621.0,3452.0,45.0,102.0,987.0,9.0,,,,,,,,,,,,,,,,,,,,,6002,938,3100,7778,,,,,
,,,Bryce Boettcher,LB,2026,175,4950000,5,175,,oregon,73.0,233,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6010,900,3068,,,,,,
,,,Le'veon Moss,RB,2026,171,4990000,5,171,,texas a&m,71.0,203,,,,,,,,,,,,322.0,1773.0,22.0,24.0,236.0,0.0,,,,,,,,,,,,,,,,,,,,,5110,948,3100,7618,,,,,
,,,Aiden Fisher,LB,2026,147,5260000,5,147,,indiana,73.0,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,948,3118,,,,,,
,,,Keith Abney II,CB,2026,114,5920000,4,114,,arizona state,70.0,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,968,3000,,,,,,
