pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag
ArchDr00,dri-archer-1,00-0031392,Dri Archer,WR,2014,3,97,PIT,kent st.,68.0,173.0,4.26,38.0,122.0,20.0,6.86,4.06,1.0,1.0,24.0,1.0,0.0,584015968.0,2461401429527.0,11166.0,19163925.0,23175561327.0,3144.0,0.0,0.0,20.0,0,0,0,False,skill_pass,False,False,False,False,40.14,0,0,True,105.06007400375259,80.0,5.46,26.301686851211073,-2.4156179709331274,-1.8498581309042472,-1.8143133678968484,1.0145494180829262,0.5657926577034149,0.43963362345406165,-0.7239585354182042,-1.206981973576518,0.6083429423574832,0.7562730400228306,-1.0307691449171548,-0.8687108102539801,0,1,0,0.009327769440154916,1209.3327085657036,0.00016405825007142325,False,,,,False
PricTa00,taylor-price-1,00-0027693,Taylor Price,WR,2010,3,90,NWE,ohio,72.0,204.0,4.4,37.0,114.0,16.0,6.82,4.34,201.0,1211.0,50029.0,101.0,0.0,26510.0,-20231994.0,0.0,9335156.0,77464694784.0,455.0,1.0,1.0,6.0,0,0,0,False,skill_pass,False,False,False,False,43.6,0,0,True,108.85526944880812,75.5,5.58,27.66435185185185,-0.8239222488023566,-0.6247549435747959,-1.0952697355895364,0.7366104007798674,-0.5362730407797573,-0.32867446801250144,-0.8971286653439379,0.5151649577748839,0.9151727199103831,-0.1304605849920861,-0.3490813886559478,-0.20533294552140535,0,1,0,1.0,8298.168213150375,4.874048168022045e-05,False,,,,False
BellBl00,blake-bell-1,00-0032062,Blake Bell,TE,2015,4,117,SFO,oklahoma,78.0,252.0,4.8,33.0,116.0,14.0,6.85,4.32,19140.0,416233.0,81071648.0,12.0,105.0,4460752.0,1712012554.0,131100.0,16.0,214.0,4.0,5.0,2.0,117.0,0,0,1,False,skill_pass,False,False,False,False,31.05,0,0,True,94.9435763888889,74.5,5.585,29.118343195266274,1.5636213343937997,1.2721790239030644,0.9591406424313439,-0.37514566843236774,-0.2607566161589643,-0.712828513745783,-0.7672510678996406,0.3921544626783579,-0.20954450447403386,-0.3275125016620676,-0.3206777321450648,0.5025047638791741,0,0,1,1.249990677639619e-07,13.375,0.25,False,,,,False
DickEd00,ed-dickson-1,00-0027675,Ed Dickson,TE,2010,3,70,BAL,oregon,76.0,249.0,4.59,34.0,115.0,23.0,7.32,4.59,0.0,1.0,0.0,0.0,0.0,23.0,1018.0,0.0,4433542.0,45453508551.0,336.0,16.0,9.0,134.0,0,0,7,False,skill_pass,False,False,False,False,54.26,0,0,True,112.19631694222323,74.5,5.955,30.30592105263158,0.7677734733284143,1.153620650935698,-0.11942480602961951,-0.09720665112930897,-0.3985148284693608,1.015864692053984,1.2674979587277306,2.0527961464814912,1.1852860445176314,-0.3275125016620676,1.7811928496603222,1.0806460259298045,0,0,1,0.9999999776034896,10252.188555110113,7.578590661822985e-05,False,,,,False
CainDe00,deon-cain-1,00-0034406,Deon Cain,WR,2018,6,185,IND,clemson,74.0,202.0,4.43,33.5,115.0,11.0,6.71,4.37,1.0,1.0,35.0,0.0,0.0,1.0,-5.0,0.0,343858.0,582724734.0,596.0,1.0,0.0,15.0,0,0,0,False,skill_pass,False,False,False,False,8.86,0,1,True,104.89781939490844,74.25,5.54,25.93243243243243,-0.028074387736971164,-0.7037938588863734,-0.9411889572379735,-0.23617615978083836,-0.3985148284693608,-1.2890595823457054,-1.3733465226397064,0.6996807004196783,0.5952251606096567,-0.37677548082956297,-0.5763106407430167,-1.0484726796475992,0,1,0,1.0,1694.6667926876792,0.0017332736187612328,False,,,,False
WilsCe01,cedric-wilson-3,00-0034418,Cedrick Wilson Jr.,WR,2018,6,208,DAL,boise st.,74.0,197.0,4.55,37.0,121.0,9.0,6.89,4.23,22.0,23.0,8446.0,10.0,0.0,39.0,713.0,0.0,5683.0,11291511.0,117.0,11.0,6.0,93.0,0,0,0,False,skill_pass,False,False,False,False,4.41,0,1,True,91.92859766992797,79.0,5.5600000000000005,25.29054054054054,-0.028074387736971164,-0.9013911471653171,-0.32486584383170797,0.7366104007798674,0.4280344453930183,-1.6732136280789869,-0.5940809379739069,-0.16139276525601987,-0.4532961802594624,0.5592211233528491,-0.46269601469947974,-1.3609609819318436,0,1,0,0.99993685920506,1986.8926623262362,0.02058771775470702,False,,,,False
SamuJa00,jaylen-samuels-1,00-0034331,Jaylen Samuels,TE,2018,5,165,PIT,north carolina st.,71.0,225.0,4.54,34.5,121.0,18.0,6.93,4.28,11.0,12.0,5925.0,10.0,0.0,15563378.0,143368189407.0,19612.0,6655575.0,96597565593.0,1774.0,7.0,7.0,45.0,0,0,0,False,skill_pass,False,False,False,False,13.99,0,1,True,105.92271458969465,77.75,5.605,31.37770283673874,-1.2218461793350492,0.20515366719676795,-0.37622610328222894,0.04176285752222043,0.4280344453930183,0.05547957772078011,-0.42091080804817327,0.14613347248530054,0.6780847574825888,0.3129062275153723,-0.20706310610152778,1.6024149941398496,0,0,1,0.40254729510467024,14513.782143992066,0.00026654346168437736,False,,,,False
SandAc00,ace-sanders-1,00-0030550,Ace Sanders,WR,2013,4,101,JAX,south carolina,67.0,173.0,4.58,32.0,117.0,7.0,6.81,4.37,101.0,112.0,3016.0,101.0,0.0,543.0,56151.0,0.0,252945.0,316383531.0,229.0,3.0,3.0,27.0,0,0,0,False,skill_pass,False,False,False,False,38.23,0,0,True,78.63469140531342,74.5,5.59,27.092670973490755,-2.81354190146582,-1.8498581309042472,-0.1707850654801405,-0.6530846857354266,-0.12299840384856776,-2.0573676738122684,-0.9404211978253741,0.6996807004196783,-1.5280672588596331,-0.3275125016620676,-0.2922740756341818,-0.4836408496778146,0,1,0,0.9998225538603593,1250.7997034928542,0.0009053351519104943,False,,,,False
WillKy01,kyle-williams-1,00-0027608,Kyle Williams,WR,2010,6,206,SFO,arizona st.,70.0,188.0,4.4,33.0,118.0,11.0,7.0,4.19,1.0,1.0,32.0,1.0,0.0,665.0,154273.0,0.0,4291957.0,87360364815.0,648.0,6.0,6.0,39.0,0,0,0,False,skill_pass,False,False,False,False,4.73,0,1,True,100.31760125674474,75.5,5.595000000000001,26.972244897959182,-1.619770109867742,-1.257066266067416,-1.0952697355895364,-0.37514566843236774,0.014759808461828759,-1.2890595823457054,-0.11786308067813844,-0.40741375544907726,0.22492873376622594,-0.1304605849920861,-0.2638704191232938,-0.5422671391962889,0,1,0,0.9999982340649802,20354.43617328878,0.00015098007738660943,False,,,,False
BrowLe00,levi-brown-1,00-0027804,Levi Brown,QB,2010,7,209,BUF,troy,75.0,229.0,4.93,31.5,106.0,20.0,7.07,4.43,201321.0,326504.0,20304254.0,1523.0,39.0,3354.0,177.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0,0,0,False,skill_pass,False,False,False,False,4.25,0,1,True,77.53143119010777,68.75,5.75,28.61991111111111,0.3698495427957216,0.363231497819923,1.6268240152881304,-0.7920541943869559,-1.6383387392629296,0.43963362345406165,0.18518464669189638,1.0687121857092616,-1.6172624245145504,-1.4605610225144612,0.6166429327140942,0.25985612202987546,1,0,0,,,,False,0.6165958150589274,62.18684610295739,39.05128205128205,False
SuttCo00,courtland-sutton-1,00-0034348,Courtland Sutton,WR,2018,2,40,DEN,southern methodist,75.0,218.0,4.54,35.5,124.0,18.0,6.57,4.11,2.0,2.0,75.0,0.0,0.0,1.0,2.0,1.0,2497668.0,2786212461085.0,91012.0,45.0,45.0,115.0,2,0,5,False,skill_pass,False,False,False,False,72.44,0,0,True,102.62734124690414,79.75,5.34,27.245155555555556,0.3698495427957216,-0.07148253639375332,-0.37622610328222894,0.31970187482527923,0.8413090823242079,0.05547957772078011,-1.9794419773797722,-0.8994557358351921,0.41166404625427017,0.7070100608553352,-1.7124569011783617,-0.4094077135752363,0,1,0,0.9999999999992821,1115525.546663928,0.03643879010340846,False,,,,False
