pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
HuntJa00,javin-hunter-1,00-0021313,Javin Hunter,WR,2002,6,206,BAL,notre dame,71.0,186.0,4.47,41.0,129.0,,6.84,4.04,,,,,,,,,,,,0.0,0.0,12.0,0,0,0,False,skill_pass,False,True,False,True,4.73,0,1,True,93.17788477936826,85.0,5.44,25.938901011704026,-1.2218461793350492,-1.3361051813789937,-0.7357479194358849,1.8483664699921023,1.5301001438761903,,-0.810543600381073,-1.329992468673044,-0.3522951932381837,1.7415326233727382,-1.144383770960692,-1.045323620779113,0,1,0,,,,True,,,,True,train,7.5836225,1.0138836,0.6464646464646465,0.16509196,0.28888888888888886,0.11849411,37.30808496068825
PickCo00,cody-pickett-1,00-0022731,Cody Pickett,QB,2004,7,217,SFO,washington,75.0,233.0,4.79,30.5,109.0,,7.19,4.3,,,,,,,,,,,,1.0,1.0,6.0,0,0,0,False,skill_pass,False,True,False,True,3.08,0,1,True,88.52050095730628,69.75,5.745,29.119822222222226,0.3698495427957216,0.521309328443078,0.9077803829808228,-1.0699932116900148,-1.22506410233174,,0.7046950364690973,0.2691439675818265,-0.7288302262266738,-1.2635091058444796,0.5882392762032111,0.503224789522643,1,0,0,,,,True,,,,True,train,5.9140706,-0.05973196,0.44646464646464645,0.15390494,0.07946127946127945,0.09240735,24.374057479930247
HackD.00,dj-hackett-1,00-0022701,D.J. Hackett,WR,2004,5,157,SEA,colorado,74.0,199.0,4.53,41.0,131.0,,6.79,4.08,,,,,,,,,,,,14.0,12.0,42.0,0,0,0,False,skill_pass,False,True,False,True,16.37,0,1,True,94.51272044200314,86.0,5.4350000000000005,25.5472972972973,-0.0280743877369711,-0.8223522318537396,-0.4275863627327499,1.8483664699921023,1.805616568496984,,-1.027006262788239,-1.0839714784799863,-0.2443778710961753,1.9385845400427195,-1.1727874274715695,-1.235965661018145,0,1,0,,,,True,,,,True,train,9.186394,0.7424545,0.6094276094276094,0.1764364,0.43434343434343436,0.1435374,39.463449033347246
PennCh01,chad-pennington-1,00-0019559,Chad Pennington,QB,2000,1,18,NYJ,marshall,75.0,229.0,4.81,33.5,111.0,,7.12,4.16,,,,,,,,,,,,55.0,41.0,89.0,0,0,5,False,skill_pass,False,True,False,True,87.44,1,0,True,85.56283631116287,72.25,5.640000000000001,28.61991111111111,0.3698495427957216,0.363231497819923,1.010500901881865,-0.2361761597808383,-0.949547677710947,,0.4016473090990625,-0.5919294980938716,-0.9679482370354644,-0.7708793141695259,-0.0082375105253417,0.2598561220298754,1,0,0,,,,True,,,,True,train,34.708565,-1.6149292,0.21414141414141413,0.4342402,0.9104377104377105,0.5423213,46.30564140290122
BechAn00,anthony-becht-1,00-0019457,Anthony Becht,TE,2000,1,27,NYJ,west virginia,78.0,270.0,4.78,33.5,123.0,,6.94,4.08,,,,,,,,,,,,12.0,10.0,167.0,0,0,9,False,skill_pass,False,True,False,True,81.14,1,0,True,103.43849031139057,78.25,5.51,31.198224852071007,1.5636213343937997,1.983529261707262,0.856420123530302,-0.2361761597808383,0.7035508700138113,,-0.377618275566737,-1.0839714784799863,0.477242931616516,0.411432185850363,-0.7467325798083198,1.5150408250084784,0,0,1,,,,True,,,,True,train,19.303564,-17.01993,0.0006734006734006734,0.26215035,0.6989898989898989,0.3016182,25.282104798288458
NortDe00,dennis-northcutt-1,00-0019650,Dennis Northcutt,WR,2000,2,32,CLE,arizona,70.0,175.0,4.43,37.5,123.0,,6.96,4.04,,,,,,,,,,,,41.0,28.0,144.0,0,0,3,False,skill_pass,False,True,False,True,77.74,1,0,True,90.87682373321276,80.25,5.5,25.107142857142858,-1.619770109867742,-1.7708192155926696,-0.9411889572379736,0.8755799094313969,0.7035508700138113,,-0.2910332106038721,-1.329992468673044,-0.5383288400289905,0.805536019190326,-0.8035398928300858,-1.450243354013056,0,1,0,,,,True,,,,True,train,28.178162,4.634968,0.8565656565656565,0.35638437,0.8478114478114478,0.44028378,67.15221835848459
MaysLe00,lee-mays-1,00-0021309,Lee Mays,WR,2002,6,202,PIT,texas-el paso,73.0,190.0,4.55,32.5,119.0,,7.08,4.17,,,,,,,,,,,,2.0,2.0,49.0,0,0,0,False,skill_pass,False,True,False,True,5.42,0,1,True,88.66209927556504,75.75,5.625,25.064740101332333,-0.4259983182696639,-1.1780273507558383,-0.3248658438317079,-0.5141151770838972,0.1525180207722253,,0.2284771791733288,-0.5304242505456087,-0.7173824414887883,-0.0811976058245907,-0.0934484800579958,-1.470886028181054,0,1,0,,,,True,,,,True,train,6.080071,-0.4896679,0.3797979797979798,0.15498887,0.15555555555555556,0.09500111,23.302829956918053
KrauRy00,,00-0022759,Ryan Krause,TE,2004,6,169,SDG,nebraska-omaha,74.0,244.0,4.6,33.5,119.0,18.0,6.78,4.16,,,,,,,,,,,,1.0,1.0,14.0,0,0,0,False,skill_pass,False,False,False,True,12.87,0,1,True,108.990462441172,76.25,5.470000000000001,31.324324324324323,-0.0280743877369711,0.9560233626567542,-0.0680645465790985,-0.2361761597808383,0.1525180207722253,0.0554795777207801,-1.0702987952696714,-0.5919294980938716,0.9261026539214916,0.0173283525104,-0.9739618318953838,1.5764290595400563,0,0,1,,,,True,,,,True,train,9.293663,2.7239242,0.7878787878787878,0.1772171,0.44242424242424244,0.14521348,46.8122481669892
LukeTr00,triandos-luke-1,00-0022674,Triandos Luke,WR,2004,6,171,DEN,alabama,71.0,199.0,4.51,38.0,124.0,,7.06,4.17,,,,,,,,,,,,0.0,0.0,10.0,0,0,0,False,skill_pass,False,True,False,True,12.33,0,1,True,96.20040592084688,81.0,5.615,27.751834953382264,-1.2218461793350492,-0.8223522318537396,-0.5303068816337965,1.0145494180829262,0.8413090823242079,,0.14189211421046,-0.5304242505456087,-0.1079337359917432,0.953324956692812,-0.1502557930797617,-0.1627440824727921,0,1,0,,,,True,,,,True,train,9.689589,3.1198497,0.8114478114478114,0.18012208,0.4707070707070707,0.15139982,48.502492065732724
KrenCr00,craig-krenzel-1,00-0022818,Craig Krenzel,QB,2004,5,148,CHI,ohio st.,75.0,228.0,4.84,28.0,112.0,,7.22,4.08,,,,,,,,,,,,1.0,1.0,6.0,0,0,0,False,skill_pass,False,True,False,True,19.27,0,1,True,83.09662709985878,70.0,5.65,28.49493333333333,0.3698495427957216,0.3237120401641342,1.1645816802334323,-1.7648407549476617,-0.8117894654005504,,0.8345726339133946,-1.0839714784799863,-1.1673336006243678,-1.2142461266769844,0.0485698024964242,0.1990139551566827,1,0,0,,,,True,,,,True,train,9.279677,0.8357382,0.6208754208754209,0.17711517,0.4417508417508417,0.14499496,40.112236483957034
GronRo00,rob-gronkowski-1,00-0027656,Rob Gronkowski,TE,2010,2,42,NWE,arizona,78.0,264.0,4.68,,,23.0,,,,,,,,,,,2847.0,525672.0,610.0,78.0,70.0,143.0,5,4,11,False,skill_pass,False,True,False,False,71.15,0,0,True,110.0653224480891,,,30.504930966469427,1.5636213343937997,1.7464125157725294,0.3428175290250784,,,1.015864692053984,,,1.013001750844829,,,1.1775288046320425,0,0,1,1.0,184.64067439409905,0.2142606252195293,False,,,,True,train,27.92139,4.3781967,0.8511784511784511,0.353445,0.8424242424242424,0.43627173,66.6899574562556
RobeMi00,mike-roberg-1,00-0020345,Mike Roberg,TE,2001,7,227,CAR,idaho,76.0,256.0,4.75,34.5,117.0,16.0,7.28,4.4,,,,,,,,,,,,0.0,,13.0,0,0,0,False,skill_pass,False,False,False,True,1.89,0,1,True,100.5762693656433,75.75,5.84,31.157894736842103,0.7677734733284143,1.430256854526219,0.7023393451787344,0.0417628575222204,-0.1229984038485677,-0.3286744680125014,1.094327828801997,0.8841964430644728,0.2458412478810856,-0.0811976058245907,1.1279087499099982,1.4954071617732838,0,0,1,,,,True,,,,True,train,4.677242,-1.2965608,0.23434343434343435,0.14602327,0.019528619528619527,0.0730819,14.146413352741838
HenrHu00,hunter-henry-1,00-0033090,Hunter Henry,TE,2016,2,35,SDG,arkansas,77.0,250.0,4.79,,,13.0,,,,,,,,,,,283751.0,409513739.0,423.0,37.0,15.0,136.0,0,0,7,False,skill_pass,False,True,False,False,75.73,0,0,True,94.97907828037154,,,29.64243548659133,1.165697403861107,1.1931401085914868,0.9077803829808228,,,-0.9049055366124238,,,-0.2066742866884078,,,0.7576454073818185,0,0,1,1.0,1443.2151393299057,0.0014907436449563,False,,,,True,train,32.73547,9.192276,0.9265993265993266,0.41017875,0.8909090909090909,0.5114917,73.31556406637235
RobeAn00,,00-0027691,Andre Roberts,WR,2010,3,88,ARI,the citadel,71.0,195.0,4.4,36.0,120.0,15.0,6.77,4.15,,,,,,,,,,,,24.0,14.0,182.0,3,1,2,False,skill_pass,False,False,False,True,44.61,0,0,True,104.05283109077246,78.0,5.46,27.194009125173576,-1.2218461793350492,-0.9804300624768948,-1.0952697355895364,0.4586713834768086,0.2902762330826218,-0.5207514908791422,-1.1135913277511078,-0.6534347456421347,0.526910477704294,0.3621692066828676,-1.0307691449171548,-0.4343070173362753,0,1,0,,,,True,,,,True,train,15.364586,-2.2999878,0.1717171717171717,0.22587164,0.6390572390572391,0.24007165,28.968697485498307
TaylTr01,travis-taylor-1,00-0019721,Travis Taylor,WR,2000,1,10,BAL,florida,73.0,199.0,4.43,37.0,118.0,,7.15,,,,,,,,,,,,,30.0,23.0,101.0,0,0,7,False,skill_pass,False,True,False,True,93.25,1,0,True,103.33993098805335,77.5,,26.25201726402702,-0.4259983182696639,-0.8223522318537396,-0.9411889572379736,0.7366104007798674,0.0147598084618287,,0.5315249065433636,,0.4692747160942508,0.2636432483478769,,-0.892891151477106,0,1,0,,,,True,,,,True,train,29.394836,-6.9286575,0.052525252525252523,0.3704567,0.8619528619528619,0.45929432,35.935087485245184
TaylJa00,jamaar-taylor-1,00-0022679,Jamaar Taylor,WR,2004,6,168,NYG,texas a&m,73.0,197.0,4.46,,,,,,,,,,,2.0,3.0,0.0,,,,1.0,1.0,13.0,0,0,0,False,skill_pass,False,True,False,True,13.15,0,1,True,99.5764838867107,,,25.988177894539312,-0.4259983182696639,-0.9013911471653172,-0.7871081788864059,,,,,,0.1650116936347642,,,-1.0213344574113168,0,1,0,,,,True,,,,True,train,5.3572273,-1.2125115,0.24511784511784512,0.15031423,0.04579124579124579,0.08370668,15.40095675741683
DorsKe01,kevin-dorsey-1,00-0030116,Kevin Dorsey,WR,2013,7,224,GNB,maryland,,,,,,,,,,,,,,1.0,4.0,0.0,3154518.0,17187573311.0,234.0,0.0,0.0,3.0,0,0,0,False,skill_pass,False,True,True,False,2.22,0,1,True,,,,,,,,,,,,,,,,,0,1,0,0.9999999997672736,5448.557691222558,7.417931994681913e-05,False,,,,True,train,4.0106134,-1.9631891,0.1898989898989899,0.14191568,0.010437710437710438,0.062665835,11.89634412198456
MoorCl00,,00-0022826,Clarence Moore,WR,2004,6,199,BAL,northern arizona,78.0,211.0,4.55,34.0,122.0,,6.84,4.16,,,,,,,,,,,,2.0,2.0,29.0,0,0,0,False,skill_pass,False,True,False,True,5.97,0,1,True,98.46159445865382,78.0,5.5,24.380834976988822,1.5636213343937997,-0.3481187399842746,-0.3248658438317079,-0.0972066511293089,0.5657926577034149,,-0.810543600381073,-0.5919294980938716,0.0748763421991892,0.3621692066828676,-0.8035398928300858,-1.8038273753597975,0,1,0,,,,True,,,,True,train,6.308525,-0.26121378,0.4134680134680135,0.15649077,0.17373737373737375,0.098570704,25.114697822692623
