pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
BookDe00,devontae-booker-1,00-0032972,Devontae Booker,RB,2016,4,136,DEN,utah,71.0,219.0,4.56,,,22.0,,,1.0,1.0,25.0,1.0,0.0,560.0,2773.0,21.0,80.0,624.0,2.0,19.0,11.0,93.0,0,0,0,False,skill_run,False,True,False,False
McKiJe00,,00-0031376,Jerick McKinnon,RB,2014,3,96,MIN,georgia southern,69.0,209.0,4.41,40.5,132.0,32.0,6.83,4.12,1.0,4.0,16.0,0.0,0.0,33.0,282.0,3.0,,,,32.0,20.0,116.0,0,0,1,False,skill_run,False,False,False,False
DixoKe00,kenneth-dixon-1,00-0032411,Kenneth Dixon,RB,2016,4,134,BAL,louisiana tech,70.0,215.0,4.56,37.5,121.0,18.0,6.97,4.28,,,,,,801.0,4480.0,72.0,88.0,972.0,15.0,5.0,5.0,18.0,0,0,0,False,skill_run,False,False,False,False
SherAn00,anthony-sherman-1,00-0028074,Anthony Sherman,RB,2011,5,136,ARI,connecticut,70.0,242.0,4.74,32.5,111.0,32.0,7.23,4.41,,,,,,17.0,61.0,0.0,48.0,477.0,1.0,5.0,1.0,153.0,1,0,3,False,skill_run,False,False,False,False
MorrAl00,alfred-morris-1,00-0029141,Alfred Morris,RB,2012,6,173,WAS,florida atlantic,70.0,219.0,4.63,35.5,117.0,16.0,7.01,4.19,,,,,,711.0,3457.0,27.0,29.0,294.0,4.0,36.0,28.0,114.0,2,0,4,False,skill_run,False,False,False,False
LewiDi00,dion-lewis-1,00-0028087,Dion Lewis,RB,2011,5,149,PHI,pittsburgh,67.0,193.0,4.56,34.5,112.0,17.0,6.9,4.18,,,,,,544.0,2860.0,30.0,52.0,405.0,1.0,31.0,1.0,102.0,0,0,2,False,skill_run,False,False,False,False
HenrDe00,derrick-henry-2,00-0032764,Derrick Henry,RB,2016,2,45,TEN,alabama,75.0,247.0,4.54,37.0,130.0,22.0,7.2,4.38,,,,,,603.0,3591.0,42.0,17.0,285.0,3.0,85.0,59.0,153.0,5,1,6,False,skill_run,False,False,False,False
TateBe00,ben-tate-1,00-0027890,Ben Tate,RB,2010,2,58,HOU,auburn,71.0,220.0,4.34,40.5,124.0,26.0,6.91,4.12,,,,,,678.0,3321.0,24.0,53.0,336.0,0.0,14.0,13.0,51.0,0,0,0,False,skill_run,False,False,False,False
RainCh00,chris-rainey-1,00-0029140,Chris Rainey,RB,2012,5,159,PIT,florida,68.0,180.0,4.36,36.5,120.0,16.0,6.5,3.93,,,,,,396.0,2464.0,13.0,69.0,795.0,6.0,1.0,1.0,18.0,0,0,0,False,skill_run,False,False,False,False
JanoAn00,andy-janovich-1,00-0032956,Andy Janovich,RB,2016,6,176,DEN,nebraska,73.0,238.0,4.81,34.0,119.0,30.0,7.28,4.32,,,,,,45.0,271.0,3.0,5.0,87.0,0.0,2.0,2.0,77.0,0,0,1,False,skill_run,False,False,False,False
DaviKn00,knile-davis-1,00-0030280,Knile Davis,RB,2013,3,96,KAN,arkansas,71.0,227.0,4.37,33.5,121.0,31.0,6.96,4.38,,,,,,349.0,1862.0,19.0,32.0,297.0,2.0,10.0,10.0,57.0,0,0,0,False,skill_run,False,False,False,False
DrakKe00,kenyan-drake-1,00-0033118,Kenyan Drake,RB,2016,3,73,MIA,alabama,73.0,210.0,4.45,34.5,123.0,10.0,7.04,4.21,,,,,,233.0,1495.0,18.0,46.0,570.0,4.0,33.0,15.0,104.0,0,0,2,False,skill_run,False,False,False,False
WashDe00,deandre-washington-1,00-0032940,DeAndre Washington,RB,2016,5,143,OAK,texas tech,68.0,204.0,4.49,34.5,116.0,24.0,7.03,4.2,,,,,,605.0,3411.0,23.0,124.0,1091.0,4.0,12.0,11.0,59.0,0,0,0,False,skill_run,False,False,False,False
SmalWe00,wendell-smallwood-1,00-0032782,Wendell Smallwood,RB,2016,5,153,PHI,west virginia,70.0,208.0,4.47,33.5,120.0,14.0,6.83,4.28,,,,,,425.0,2462.0,12.0,68.0,618.0,0.0,10.0,9.0,56.0,0,0,1,False,skill_run,False,False,False,False
MattAl01,alexander-mattison-1,00-0034972,Alexander Mattison,RB,2019,3,102,MIN,boise st.,71.0,221.0,4.67,35.0,127.0,22.0,7.13,4.29,,,,,,581.0,2826.0,33.0,60.0,511.0,1.0,21.0,18.0,89.0,0,0,1,False,skill_run,False,False,False,False
BallVi00,vick-ballard-1,00-0029547,Vick Ballard,RB,2012,5,170,IND,mississippi st.,70.0,219.0,4.59,33.0,115.0,23.0,7.03,4.19,,,,,,379.0,2157.0,29.0,30.0,293.0,2.0,5.0,5.0,17.0,0,0,1,False,skill_run,False,False,False,False
