pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
WattDe00,derek-watt-1,00-0032897,Derek Watt,RB,2016,6,198,SDG,wisconsin,,,,,,,,,,,,,,2119.0,58245.0,0.0,12315.0,15020139.0,10.0,1.0,1.0,110.0,0,0,0,False,skill_run,False,True,True,False,6.15,0,1,True,,,,,,,,,,,,,,,,,27.48702218027372,0.0,5.811703633789524,15078384.0,False,False,train,4.1818385,-2.378107,0.2313167259786477,0.14296144,0.05516014234875445,0.06534123,14.521925307916367
BellTa00,tatum-bell-1,00-0022893,Tatum Bell,RB,2004,2,41,DEN,oklahoma st.,71.0,212.0,4.37,38.5,117.0,25.0,,,,,,,,,,,,,,22.0,20.0,54.0,0,0,1,False,skill_run,False,True,False,True,71.8,0,0,True,116.26262082254875,77.75,,29.564768895060503,0.0522152808722206,-0.4483140618879367,-1.3773286795808242,1.2373995245305274,-0.2447791228048401,0.917628472343502,,,1.4220804415765274,0.3026210801338418,,-0.620503859463627,,,,,True,True,train,30.752796,2.63027,0.7330960854092526,0.38642606,0.8683274021352313,0.48051244,64.0291620870502
JohnQu00,quinn-johnson-1,00-0027106,Quinn Johnson,RB,2009,5,145,GNB,louisiana state,73.0,246.0,4.72,32.0,115.0,16.0,,,,,,,,,,,,,,0.0,0.0,44.0,0,0,1,False,skill_run,False,True,False,True,20.28,0,1,True,99.1281744432637,73.5,,32.45224244698818,1.1501474029961911,1.4768163869853943,1.2092953586040005,-0.7710210849298669,-0.5736025796199266,-0.8942195827429021,,,-0.3291582945523544,-0.701823356055082,,0.914285526447914,,,,,True,True,train,5.0342813,-3.1689715,0.17259786476868327,0.14826354,0.09608540925266904,0.078660645,13.364106693513877
GreeWi01,william-green-1,00-0021150,William Green,RB,2002,1,16,CLE,boston col.,72.0,221.0,4.6,42.0,121.0,27.0,,,,,,,,,,,,,,14.0,14.0,46.0,0,0,3,False,skill_run,False,True,False,True,88.88,1,0,True,98.71677130942216,81.5,,29.96971450617284,0.601181341934206,0.061279292225592,0.3224528312263445,2.318856775778432,0.4128677908253326,1.3202613734738142,,,-0.3712060554312307,1.1888955826534806,,-0.4052616365896693,,,,,True,True,train,39.905598,-3.7989082,0.13523131672597866,0.49882,0.9288256227758007,0.62352496,46.432664985652494
RipkAa00,aaron-ripkowski-1,00-0031612,Aaron Ripkowski,RB,2015,6,206,GNB,oklahoma,,,,,,,,,,,,,,6.0,13.0,3.0,17.0,338.0,11.0,2.0,2.0,47.0,0,0,0,False,skill_run,False,True,True,False,4.73,0,1,True,,,,,,,,,,,,,,,,,2.1666666666666665,0.5,2.833333333333333,351.0,False,False,train,3.67832,-2.8816257,0.18505338078291814,0.13990444,0.021352313167259787,0.05747375,11.776745336600895
RedmJ.00,jr-redmond-1,00-0019722,J.R. Redmond,RB,2000,3,76,NWE,arizona st.,71.0,216.0,4.48,32.5,121.0,,,,,,,,,,,,,,,9.0,6.0,50.0,0,0,0,False,skill_run,False,True,False,True,50.94,0,0,True,107.24367573081524,76.75,,30.12259472326919,0.0522152808722206,-0.2218281267263683,-0.5643896961513046,-0.6165271918944519,0.4128677908253326,,,,0.5002925031720522,0.0662812127952715,,-0.3240006552176703,,,,,True,True,train,18.70008,-1.4522018,0.304270462633452,0.25635588,0.7117437722419929,0.29218876,37.376587079884324
GordLa00,,00-0021209,Lamar Gordon,RB,2002,3,84,STL,north dakota st.,73.0,214.0,4.55,34.0,119.0,16.0,,,,,,,,,,,,,,9.0,6.0,41.0,0,0,0,False,skill_run,False,True,False,True,46.68,0,0,True,99.8615223419522,76.5,,28.23081253518484,1.1501474029961911,-0.3350710943071525,-0.0470648885143437,-0.153045512788207,0.0840443340102462,-0.8942195827429021,,,-0.2542059314112456,0.0071962459606289,,-1.329546566033029,,,,,True,True,train,17.333263,-2.8190193,0.19572953736654805,0.2435458,0.6886120996441281,0.27083224,31.888984382629822
WhytKe00,kerrith-whyte-1,00-0035596,Kerrith Whyte Jr,RB,2019,7,222,CHI,florida atlantic,,,,,,,,,,,,,,4355134.0,145347866.0,128.0,5710.0,2146160.0,2.0,1.0,,6.0,0,0,0,False,skill_run,False,True,True,False,2.45,0,1,True,,,,,,,,,,,,,,,,,33.37391363847817,2.9390599692225316e-05,0.0013110962831453,147494026.0,False,False,train,3.8640387,-1.5448487,0.29537366548042704,0.14102557,0.037366548042704624,0.06037561,16.59030126633116
WillDa011,david-williams-5,00-0034427,David Williams,RB,2018,7,226,DEN,arkansas,,,,,,,,,,,,,,458656117.0,256299239656.0,2038.0,711910.0,999372171.0,2.0,0.0,,6.0,0,0,0,False,skill_run,False,True,True,False,1.99,0,1,True,,,,,,,,,,,,,,,,,558.8047998409231,4.44341615528917e-06,0.0015521650613895,257298611827.0,False,False,train,5.4845257,0.075638294,0.5177935943060499,0.15112896,0.18683274021352314,0.085695714,29.184892104401712
ScotBo02,boston-scott-1,00-0034414,Boston Scott,RB,2018,6,201,NOR,louisiana tech,,,,,,,,,,,,,,13470182.0,32755151040.0,68.0,11120.0,1125181.0,1.0,11.0,,75.0,0,0,0,False,skill_run,False,True,True,False,5.6,0,1,True,,,,,,,,,,,,,,,,,2431.678431664843,5.0481871737145055e-06,0.0008255270789956,32756276221.0,False,False,train,4.672285,-1.8876605,0.26334519572953735,0.14599238,0.0711743772241993,0.073004454,16.337232146995458
SmalKi00,kiero-small-1,00-0031091,Kiero Small,RB,2014,7,227,SEA,arkansas,,,,,,,,,,,,,,140.0,1151.0,13.0,119.0,7128.0,1.0,0.0,,3.0,0,0,0,False,skill_run,False,True,True,False,1.89,0,1,True,,,,,,,,,,,,,,,,,8.221428571428572,0.0928571428571428,0.85,8279.0,False,False,train,3.7372496,-1.6716378,0.27846975088967973,0.14025937,0.028469750889679714,0.05839453,15.681263036044893
JoneKe02,kevin-jones-3,00-0022782,Kevin Jones,RB,2004,1,30,DET,virginia tech,72.0,227.0,4.38,38.0,120.0,,,,,,,,,,,,,,,27.0,26.0,64.0,0,0,4,False,skill_run,False,True,False,True,79.09,1,0,True,123.35575360998898,79.0,,30.783371913580247,0.601181341934206,0.4010081949679446,-1.3034251356326878,1.0829056314951124,0.2484560624177894,,,,2.147039312315917,0.5980459143070548,,0.0272246633535799,,,,,True,True,train,29.02675,-14.677755,0.012455516014234875,0.36617482,0.8469750889679716,0.453543,33.83207980318002
SmitMu00,musa-smith-1,00-0022130,Musa Smith,RB,2003,3,77,BAL,georgia,73.0,232.0,4.45,35.5,123.0,,,,,,,,,,,,,,,6.0,6.0,49.0,0,0,0,False,skill_run,False,True,False,True,50.4,0,0,True,118.325387835605,79.25,,30.605366860574215,1.1501474029961911,0.684115613919905,-0.7861003279957203,0.3104361663180378,0.741691247640419,,,,1.632907066313013,0.6571308811416973,,-0.0673910140124986,,,,,True,True,train,15.751305,-4.400978,0.11565836298932385,0.22927053,0.6548042704626335,0.24611413,27.230113279140717
