pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag
PerkPa00,paul-perkins-1,00-0032417,Paul Perkins,RB,2016,5,149,NYG,ucla,70.0,208.0,4.54,32.0,124.0,19.0,,,,,,,,621.0,3488.0,29.0,80.0,739.0,3.0,5.0,5.0,29.0,0,0,0,False,skill_run,False,True,False,False,18.93,0,1,True,97.91966504291771,78.0,,29.841632653061225,-0.49675078018976476,-0.6747999970495051,-0.12096843246247352,-0.7710210849298668,0.9061029760479623,-0.2902702310474341,,,-0.4526748896038538,0.36170604696848435,,-0.47334145278481277,5.616747181964573,0.04669887278582931,0.1288244766505636,4227.0,False,False
ErviTy00,tyler-ervin-1,00-0032404,Tyler Ervin,RB,2016,4,119,HOU,san jose st.,70.0,192.0,4.41,39.0,130.0,17.0,,,,,,,,528.0,2803.0,19.0,87.0,783.0,4.0,2.0,0.0,43.0,0,0,0,False,skill_run,False,True,False,False,30.21,0,0,True,101.52590430430305,84.5,,27.54612244897959,-0.49675078018976476,-1.5807437376957785,-1.0817145037882656,1.3918934175659423,1.8925733464932215,-0.6929031321777461,,,-0.08409654476034066,1.897915184669191,,-1.6934823936859298,5.308712121212121,0.03598484848484849,0.16477272727272727,3586.0,False,False
HydeCa00,carlos-hyde-1,00-0031045,Carlos Hyde,RB,2014,2,57,SFO,ohio st.,72.0,230.0,4.62,34.5,114.0,19.0,,,,,,,,523.0,3198.0,37.0,34.0,271.0,4.0,32.0,18.0,102.0,0,0,4,False,skill_run,False,True,False,False,61.82,0,0,True,100.96943578933562,74.25,,31.19020061728395,0.601181341934206,0.5708726463391209,0.4702599191226303,0.001448380247207893,-0.7380143080274698,-0.2902702310474341,,,-0.14097081996454178,-0.5245684555511542,,0.24346781332520742,6.11472275334608,0.07074569789674952,0.06500956022944551,3469.0,False,False
JohnSt03,storm-johnson-1,00-0031243,Storm Johnson,RB,2014,7,222,JAX,central florida,72.0,209.0,4.6,35.5,118.0,16.0,,,,,,,,335.0,1765.0,19.0,41.0,289.0,3.0,0.0,0.0,6.0,0,0,0,False,skill_run,False,True,False,False,2.45,0,1,True,93.35658463198747,76.75,,28.342399691358025,0.601181341934206,-0.618178513259113,0.32245283122635104,0.3104361663180377,-0.08036739439729697,-0.8942195827429021,,,-0.9190478902134808,0.06628121279527151,,-1.2702342364761623,5.268656716417911,0.056716417910447764,0.12238805970149254,2054.0,False,False
HillJe01,jeremy-hill-2,00-0031301,Jeremy Hill,RB,2014,2,55,CIN,louisiana state,73.0,233.0,4.56,29.0,113.0,20.0,,,,,,,,345.0,2156.0,28.0,26.0,254.0,0.0,21.0,21.0,55.0,0,0,3,False,skill_run,False,True,False,False,63.03,0,0,True,107.77711299004238,71.0,,30.73728654531807,1.1501474029961913,0.7407370977102972,0.02683865543379916,-1.6979844431423563,-0.9024260364350131,-0.08895378048227805,,,0.5548128518879805,-1.2926730244015074,,0.0027287388775336686,6.249275362318841,0.08115942028985507,0.07536231884057971,2410.0,False,False
ConnJa00,james-conner-1,00-0033553,James Conner,RB,2017,3,105,PIT,pittsburgh,73.0,233.0,4.65,29.0,113.0,20.0,,,,,,,,668.0,3733.0,52.0,30.0,412.0,4.0,49.0,17.0,110.0,2,0,6,False,skill_run,False,True,False,False,36.37,0,0,True,99.67221396811696,71.0,,30.73728654531807,1.1501474029961913,0.7407370977102972,0.6919705509670458,-1.6979844431423563,-0.9024260364350131,-0.08895378048227805,,,-0.27355433345443336,-1.2926730244015074,,0.0027287388775336686,5.588323353293413,0.07784431137724551,0.04491017964071856,4145.0,False,False
GanaTe00,terrance-ganaway-1,00-0029427,Terrance Ganaway,RB,2012,6,202,NYJ,baylor,71.0,239.0,4.61,37.5,119.0,,7.15,4.25,,,,,,364.0,2042.0,28.0,12.0,133.0,1.0,0.0,,3.0,0,0,0,False,skill_run,False,True,False,False,5.42,0,1,True,105.83375251678564,78.25,5.7,33.33009323546915,0.05221528087222063,1.0804660004526496,0.39635637517449396,0.9284117384596975,0.08404433401024623,,0.2558949317032988,-0.10325711523392699,0.3561902606647575,0.4207910138031269,0.1258827359646608,1.3808927691965835,5.6098901098901095,0.07692307692307693,0.03296703296703297,2175.0,False,False
RobiJo02,josh-robinson-2,00-0031611,Josh Robinson,RB,2015,6,205,IND,mississippi st.,68.0,217.0,4.7,32.0,113.0,21.0,,,,,,,,323.0,1997.0,15.0,43.0,493.0,1.0,0.0,0.0,5.0,0,0,0,False,skill_run,False,True,False,False,4.9,0,1,True,88.94024015094429,72.5,,32.99113321799308,-1.5946829023137354,-0.16520664293597626,1.0614882707077342,-0.7710210849298668,-0.9024260364350131,0.11236267008287798,,,-1.3704236368289096,-0.9381632233936521,,1.2007241104314308,6.182662538699691,0.04643962848297214,0.13312693498452013,2490.0,False,False
ScarBo01,bo-scarbrough-1,00-0034432,Bo Scarbrough,RB,2018,7,236,DAL,alabama,73.0,228.0,4.52,40.0,129.0,14.0,,4.34,,,,,,267.0,1512.0,20.0,21.0,131.0,0.0,2.0,,7.0,0,0,0,False,skill_run,False,True,False,False,1.06,0,1,True,109.24739836788898,84.5,,30.0776881215988,1.1501474029961913,0.4576296787583367,-0.26877552035875274,1.700881203636772,1.7281616180856783,-1.2968524838732143,,0.4524395736203935,0.7050844538909323,1.897915184669191,,-0.3478700255726127,5.662921348314606,0.0749063670411985,0.07865168539325842,1643.0,False,False
ThomDe05,deanthony-thomas-1,00-0031060,De'Anthony Thomas,RB,2014,4,124,KAN,oregon,69.0,174.0,4.39,32.0,124.0,8.0,,,,,,,,243.0,1890.0,26.0,113.0,1296.0,15.0,7.0,7.0,69.0,0,0,0,False,skill_run,False,True,False,False,28.15,0,0,True,93.69602422186715,78.0,,25.692501575299307,-1.0457168412517501,-2.599930445922836,-1.2295215916845448,-0.7710210849298668,0.9061029760479623,-2.5047511872641506,,,-0.8843552164489147,0.36170604696848435,,-2.678744281376403,7.777777777777778,0.10699588477366255,0.46502057613168724,3186.0,False,False
PollTo00,tony-pollard-1,00-0035261,Tony Pollard,RB,2019,4,128,DAL,memphis,72.0,210.0,4.52,35.0,121.0,13.0,,,,,,,,140.0,942.0,9.0,103.0,1278.0,9.0,45.0,34.0,112.0,1,0,2,False,skill_run,False,True,False,False,26.55,0,0,True,100.62260375989774,78.0,,28.47800925925926,0.601181341934206,-0.5615570294687209,-0.26877552035875274,0.1559422732826228,0.41286779082533265,-1.4981689344383702,,,-0.1764190434692189,0.36170604696848435,,-1.198153186485621,6.728571428571429,0.06428571428571428,0.7357142857142858,2220.0,False,False
ArtiCa00,cameron-artis-payne-1,00-0031599,Cameron Artis-Payne,RB,2015,5,174,CAR,auburn,70.0,212.0,4.53,36.5,118.0,,7.13,,,,,,,394.0,2218.0,19.0,14.0,151.0,0.0,5.0,5.0,32.0,0,0,0,False,skill_run,False,True,False,False,11.54,0,1,True,100.68691825982245,77.25,,30.41551020408163,-0.49675078018976476,-0.4483140618879367,-0.19487197641060985,0.6194239523888676,-0.08036739439729697,,0.17564793427817102,,-0.16984573254514562,0.18445114646455663,,-0.16830621755953493,5.629441624365482,0.048223350253807105,0.03553299492385787,2369.0,False,False
HillJu00,justice-hill-1,00-0034975,Justice Hill,RB,2019,4,113,BAL,oklahoma st.,70.0,198.0,4.4,40.0,130.0,21.0,,,,,,,,632.0,3539.0,30.0,49.0,304.0,1.0,17.0,17.0,84.0,0,0,0,False,skill_run,False,True,False,False,32.78,0,0,True,105.65364387678434,85.0,,28.406938775510206,-0.49675078018976476,-1.241014834953426,-1.155618047736402,1.700881203636772,1.8925733464932215,0.11236267008287798,,,0.3377821242067812,2.0160851183384763,,-1.2359295408480102,5.599683544303797,0.04746835443037975,0.07753164556962025,3843.0,False,False
CollAl00,alex-collins-1,00-0032426,Alex Collins,RB,2016,5,171,SEA,arkansas,70.0,217.0,4.59,28.5,113.0,18.0,,,,,,,,665.0,3703.0,36.0,27.0,167.0,0.0,17.0,5.0,50.0,0,0,2,False,skill_run,False,True,False,False,12.33,0,1,True,97.7775131584837,70.75,,31.132857142857144,-0.49675078018976476,-0.16520664293597626,0.24854928727821474,-1.8524783361777712,-0.9024260364350131,-0.4915866816125901,,,-0.46720362784984254,-1.3517579912361501,,0.2129878264720657,5.568421052631579,0.05413533834586466,0.0406015037593985,3870.0,False,False
PennRa00,rashaad-penny-1,00-0034750,Rashaad Penny,RB,2018,1,27,SEA,san diego st.,71.0,220.0,4.46,32.5,120.0,13.0,,,,,,,,487.0,3643.0,38.0,42.0,479.0,6.0,13.0,13.0,45.0,0,0,0,False,skill_run,False,True,False,False,81.14,1,0,True,111.20216474658048,76.25,,30.68042055147788,0.05221528087222063,0.004657808435199999,-0.7121967840475774,-0.6165271918944518,0.24845606241778945,-1.4981689344383702,,,0.9048727940958158,-0.051888720874013625,,-0.027497450971709976,7.480492813141684,0.07802874743326489,0.08624229979466119,4122.0,False,False
McKnJo00,joe-mcknight-1,00-0027712,Joe McKnight,RB,2010,4,112,NYJ,southern california,71.0,198.0,4.4,36.5,120.0,18.0,,,,,,,,347.0,2213.0,13.0,66.0,542.0,2.0,7.0,6.0,41.0,0,0,0,False,skill_run,False,True,False,False,33.22,0,0,True,105.65364387678434,78.25,,27.612378496330095,0.05221528087222063,-1.241014834953426,-1.155618047736402,0.6194239523888676,0.24845606241778945,-0.4915866816125901,,,0.3377821242067812,0.4207910138031269,,-1.6582650743244705,6.377521613832853,0.037463976945244955,0.19020172910662825,2755.0,False,False
WestTe00,,00-0031375,Terrance West,RB,2014,3,94,CLE,towson,69.0,225.0,4.56,33.5,120.0,16.0,,,,,,,,81.0,315.0,6.0,3.0,12.0,0.0,11.0,3.0,43.0,0,0,2,False,skill_run,False,True,False,False,41.61,0,0,True,104.0766112564787,76.75,,33.22306238185255,-1.0457168412517501,0.2877652273871604,0.02683865543379916,-0.30753940582362194,0.24845606241778945,-0.8942195827429021,,,0.17660034151685755,0.06628121279527151,,1.3240022678147985,3.888888888888889,0.07407407407407407,0.037037037037037035,327.0,False,False
GuicDe00,derrius-guice-1,00-0034358,Derrius Guice,RB,2018,2,59,WAS,louisiana state,70.0,224.0,4.49,31.5,,15.0,,,,,,,,471.0,3074.0,29.0,32.0,250.0,3.0,2.0,2.0,5.0,0,0,0,False,skill_run,False,True,False,False,60.63,0,0,True,110.22818335966633,,,32.137142857142855,-0.49675078018976476,0.23114374359676834,-0.4904861522031618,-0.9255149779652817,,-1.0955360333080582,,,0.8053263077211708,,,0.7467994881163024,6.526539278131635,0.06157112526539278,0.06794055201698514,3324.0,False,False
